query_gene	target_gene
g12457	LOC145247498
g12458	LOC145247500
g12459	LOC145247501
g1246	LOC145287928
g12460	LOC145247502
g12461	LOC145247503
g12462	LOC145247503
g12464	LOC145247503
g12466	LOC145247503
g12468	LOC145247507
g1247	LOC145287930
g12471	LOC145247509
g12472	LOC145247510
g12473	LOC145247235
g12474	LOC145247511
g12475	LOC145247512
g12478	LOC145247265
g12479	LOC145247515
g1248	LOC145287932
g12480	LOC145247513
g12481	LOC145247513
g12482	LOC145247513
g12483	LOC145247516
g12484	LOC145247517
g12485	LOC145247518
g12486	LOC145247521
g12487	LOC145247521
g12488	LOC145247524
g1249	LOC145287933
g12491	LOC145247526
g12492	LOC145247526
g12493	LOC145247526
g12494	LOC145247526
g12495	LOC145247526
g12496	LOC145247528
g12498	LOC145247269
g125	LOC145295959
g1250	LOC145287934
g12500	LOC145247268
g12501	LOC145247268
g12502	LOC145247240
g12503	LOC145247570
g12504	LOC145247570
g12505	LOC145247570
g12506	LOC145247568
g12508	LOC145247567
g12509	LOC145247566
g1251	LOC145287934
g12510	LOC145247565
g12511	LOC145247564
g12512	LOC145247563
g12513	LOC145247561
g12514	LOC145247560
g12515	LOC145247559
g12516	LOC145247556
g12517	LOC145247558
g12519	LOC145247556
g1252	LOC145287937
g12520	LOC145247555
g12521	LOC145247555
g12522	LOC145247554
g12523	LOC145247554
g12527	LOC145247549
g1253	LOC145287936
g12532	LOC145247548
g12533	LOC145247550
g12536	LOC145247237
g1254	LOC145287939
g12544	LOC145247545
g12545	LOC145247545
g12546	LOC145247545
g12547	LOC145247545
g12548	LOC145247543
g12549	LOC145247543
g1255	LOC145287940
g12550	LOC145247544
g12551	LOC145247542
g12552	LOC145247267
g12553	LOC145247540
g12556	LOC145247539
g12557	LOC145247537
g12558	LOC145247236
g12559	LOC145247536
g1256	LOC145287941
g12561	LOC145247535
g12562	LOC145247532
g12563	LOC145247135
g12566	LOC145247986
g1257	LOC145287945
g12575	LOC145247985
g12576	LOC145247985
g12578	LOC145247981
g12579	LOC145247983
g1258	LOC145287946
g12580	LOC145247980
g12581	LOC145247980
g12582	LOC145247979
g12583	LOC145247979
g12584	LOC145247978
g12586	LOC145247988
g12588	LOC145247988
g1259	LOC145288241
g12590	LOC145247990
g12591	LOC145247991
g12593	LOC145247992
g12594	LOC145247993
g12595	LOC145247995
g12596	LOC145247995
g12597	LOC145247996
g12598	LOC145247999
g12599	LOC145247998
g12600	LOC145247977
g12601	LOC145247976
g12602	LOC145247974
g12603	LOC145247974
g12604	LOC145247965
g12605	LOC145247969
g12606	LOC145247969
g12607	LOC145247969
g12608	LOC145247969
g12609	LOC145247969
g1261	LOC145287948
g12610	LOC145247969
g12611	LOC145247969
g12612	LOC145247969
g12613	LOC145247969
g12614	LOC145247969
g12616	LOC145247967
g12617	LOC145247966
g12618	LOC145247962
g12619	LOC145247962
g12620	LOC145247807
g12621	LOC145247807
g12622	LOC145247807
g12623	LOC145247960
g12624	LOC145247960
g12625	LOC145247958
g12626	LOC145247958
g12627	LOC145247958
g12628	LOC145247958
g12629	LOC145247955
g1263	LOC145288240
g12630	LOC145247958
g12631	LOC145247959
g12632	LOC145247956
g12633	LOC145247954
g12634	LOC145247954
g12636	LOC145247954
g12638	LOC145247806
g1264	LOC145288172
g12645	LOC145247867
g12646	LOC145247953
g12647	LOC145247952
g12648	LOC145247803
g12649	LOC145247803
g1265	LOC145287950
g12651	LOC145247951
g12653	LOC145247948
g12654	LOC145247948
g12656	LOC145247944
g12657	LOC145247944
g12658	LOC145247944
g12659	LOC145247944
g1266	LOC145287951
g12660	LOC145247934
g12661	LOC145247943
g12662	LOC145247943
g12663	LOC145247945
g12664	LOC145247945
g12665	LOC145247940
g12667	LOC145247938
g12668	LOC145247939
g12669	LOC145254766
g12672	LOC145247931
g12673	LOC145247929
g12674	LOC145247931
g12675	LOC145247930
g12676	LOC145247929
g12677	LOC145247927
g12678	LOC145247926
g12679	LOC145247925
g12683	LOC145247923
g12684	LOC145247922
g12686	LOC145247921
g12687	LOC145247921
g12688	LOC145247921
g12689	LOC145247920
g12690	LOC145247864
g12693	LOC145247919
g12694	LOC145247917
g12695	LOC145247917
g12702	LOC145247915
g12713	LOC145247910
g12715	LOC145247910
g12717	LOC145247908
g1272	LOC145288176
g12720	LOC145247789
g12721	LOC145247896
g12722	LOC145247896
g12723	LOC145247897
g12727	LOC145247898
g12728	LOC145248002
g1274	LOC145288177
g12741	LOC145248005
g12743	LOC145248005
g12745	LOC145248006
g12746	LOC145248006
g12747	LOC145248007
g12748	LOC145247817
g1275	LOC145288242
g12751	LOC145247820
g12752	LOC145248010
g12753	LOC145248011
g12754	LOC145248011
g12755	LOC145248012
g12756	LOC145248013
g12757	LOC145248016
g12758	LOC145248018
g12759	LOC145248018
g12760	LOC145248018
g12761	LOC145248020
g12762	LOC145248017
g12763	LOC145248024
g12764	LOC145248022
g12765	LOC145248022
g12766	LOC145248025
g12767	LOC145248028
g12768	LOC145248026
g12769	LOC145248030
g1277	LOC145287952
g12770	LOC145248030
g12771	LOC145248031
g12772	LOC145248032
g12773	LOC145248036
g12774	LOC145248033
g12775	LOC145248035
g12776	LOC145248037
g12777	LOC145248039
g12778	LOC145248039
g12779	LOC145248039
g12781	LOC145248040
g12782	LOC145248041
g12783	LOC145248042
g12784	LOC145248044
g12785	LOC145248045
g12786	LOC145248047
g12787	LOC145248046
g12788	LOC145248052
g12789	LOC145248050
g12790	LOC145248051
g12791	LOC145248055
g12792	LOC145248055
g12793	LOC145248057
g12794	LOC145248057
g12796	LOC145248058
g12797	LOC145248058
g12798	LOC145248060
g12799	LOC145248058
g12800	LOC145248061
g12801	LOC145248062
g12802	LOC145248062
g12803	LOC145248063
g12804	LOC145248063
g12805	LOC145248068
g12806	LOC145248069
g12808	LOC145247871
g12809	LOC145248070
g12812	LOC145247830
g12813	LOC145248072
g12814	LOC145248073
g12815	LOC145248075
g12816	LOC145248075
g12817	LOC145247872
g12818	LOC145248077
g12819	LOC145248078
g1282	LOC145287952
g12820	LOC145248078
g12821	LOC145248081
g12822	LOC145248082
g12823	LOC145248080
g12824	LOC145248082
g12825	LOC145248083
g12828	LOC145248084
g12829	LOC145248084
g12830	LOC145248084
g12832	LOC145248085
g12833	LOC145248088
g12834	LOC145248087
g12835	LOC145248090
g12836	LOC145248090
g12837	LOC145248090
g12838	LOC145248092
g12839	LOC145248091
g12840	LOC145248093
g12841	LOC145248095
g12842	LOC145248096
g12843	LOC145248097
g12844	LOC145248099
g12845	LOC145248106
g12846	LOC145248106
g12847	LOC145248109
g12848	LOC145248109
g12849	LOC145248110
g1285	LOC145287952
g12850	LOC145248109
g12851	LOC145248112
g12852	LOC145248114
g12853	LOC145248115
g12854	LOC145248116
g12855	LOC145248117
g12856	LOC145248118
g12859	LOC145248122
g12860	LOC145248122
g12862	LOC145248122
g12863	LOC145248122
g12865	LOC145248122
g12868	LOC145248125
g12874	LOC145248128
g12875	LOC145248127
g12876	LOC145248129
g12877	LOC145248131
g12878	LOC145248143
g12879	LOC145248143
g1288	LOC145287953
g12880	LOC145248143
g12882	LOC145248145
g12883	LOC145248145
g12885	LOC145248145
g12886	LOC145248147
g12887	LOC145248150
g12888	LOC145248149
g12889	LOC145248159
g12890	LOC145248152
g12891	LOC145248154
g12892	LOC145248155
g12893	LOC145248156
g12894	LOC145248157
g12896	LOC145248163
g12897	LOC145248163
g12898	LOC145248160
g12899	LOC145248160
g12900	LOC145248162
g12901	LOC145248165
g12902	LOC145248166
g12903	LOC145248168
g12904	LOC145248170
g12905	LOC145248170
g12906	LOC145248172
g12907	LOC145248173
g12908	LOC145248174
g12910	LOC145248175
g12911	LOC145248181
g12912	LOC145248180
g12913	LOC145248182
g12914	LOC145248185
g12915	LOC145248178
g12916	LOC145248185
g12917	LOC145248186
g12918	LOC145248188
g12920	LOC145248189
g12921	LOC145284869
g12922	LOC145284869
g12923	LOC145248190
g12924	LOC145248192
g12925	LOC145248192
g12926	LOC145248193
g12927	LOC145248195
g12928	LOC145248196
g12929	LOC145248198
g12930	LOC145248198
g12931	LOC145248199
g12932	LOC145248199
g12933	LOC145248202
g12934	LOC145248202
g12935	LOC145248202
g12936	LOC145248204
g12937	LOC145248205
g12938	LOC145248206
g12939	LOC145248207
g12940	LOC145248209
g12941	LOC145248209
g12942	LOC145248209
g12945	LOC145248211
g12946	LOC145248212
g12947	LOC145248213
g12948	LOC145248214
g12950	LOC145248214
g12951	LOC145248214
g12952	LOC145248216
g12953	LOC145248217
g12955	LOC145248218
g12956	LOC145248219
g12957	LOC145248219
g12958	LOC145248219
g12959	LOC145248219
g1296	LOC145288243
g12960	LOC145248221
g12961	LOC145247875
g12962	LOC145248222
g12963	LOC145248222
g12965	LOC145248224
g12966	LOC145248224
g12967	LOC145248226
g12968	LOC145248228
g12969	LOC145248225
g12970	LOC145248229
g12971	LOC145247838
g12972	LOC145248230
g12973	LOC145248232
g12975	LOC145248237
g12976	LOC145248238
g12982	LOC145248243
g12984	LOC145248250
g12985	LOC145248253
g12986	LOC145248252
g12987	LOC145248252
g12988	LOC145248252
g12989	LOC145248252
g12990	LOC145248255
g12991	LOC145248255
g12998	LOC145248258
g12999	LOC145248258
g1300	LOC145287955
g13001	LOC145248259
g13003	LOC145248262
g13004	LOC145247845
g13005	LOC145247845
g13006	LOC145247845
g13007	LOC145248264
g13009	LOC145248265
g13010	LOC145248266
g13011	LOC145248270
g13012	LOC145248267
g13013	LOC145248269
g13014	LOC145248271
g13015	LOC145248271
g13016	LOC145248271
g13017	LOC145248278
g13018	LOC145248277
g13020	LOC145248275
g13021	LOC145248275
g13022	LOC145248282
g13023	LOC145248283
g13024	LOC145248284
g13025	LOC145248284
g13026	LOC145248286
g13027	LOC145248285
g13028	LOC145248285
g13029	LOC145248285
g13031	LOC145247846
g13032	LOC145248288
g13033	LOC145248289
g13034	LOC145248290
g13035	LOC145248290
g13036	LOC145248291
g13037	LOC145248294
g13039	LOC145248293
g13040	LOC145248295
g13041	LOC145248295
g13042	LOC145248295
g13043	LOC145248297
g13044	LOC145248297
g13046	LOC145248301
g13047	LOC145248305
g13048	LOC145248305
g13049	LOC145248306
g13050	LOC145248306
g13051	LOC145248304
g13052	LOC145248304
g13053	LOC145248304
g13057	LOC145248310
g13058	LOC145247880
g13059	LOC145247880
g1306	LOC145287957
g13060	LOC145248312
g13061	LOC145248312
g13062	LOC145248313
g13063	LOC145248314
g13065	LOC145248315
g13066	LOC145248315
g13067	LOC145248315
g13069	LOC145248319
g1307	LOC145287957
g13070	LOC145248321
g13071	LOC145248321
g13073	LOC145248318
g13074	LOC145248322
g13075	LOC145247847
g13076	LOC145248323
g13077	LOC145248324
g13078	LOC145248326
g13079	LOC145248326
g13080	LOC145248330
g13081	LOC145248332
g13082	LOC145248333
g13083	LOC145248333
g13084	LOC145248334
g13085	LOC145248335
g13086	LOC145248335
g13087	LOC145248336
g13088	LOC145248339
g13089	LOC145248338
g13090	LOC145248340
g13092	LOC145247851
g13093	LOC145248342
g13094	LOC145248343
g13095	LOC145248349
g13096	LOC145248347
g13097	LOC145247853
g13098	LOC145247853
g13099	LOC145248344
g131	LOC145242098
g13100	LOC145248345
g13101	LOC145248345
g13102	LOC145248345
g13103	LOC145248350
g13104	LOC145248350
g13105	LOC145248346
g13106	LOC145248351
g13107	LOC145248351
g13108	LOC145248354
g13110	LOC145248365
g13112	LOC145248365
g13113	LOC145248363
g13114	LOC145248362
g13115	LOC145248363
g13116	LOC145248363
g13117	LOC145248361
g13119	LOC145248360
g1312	LOC145287958
g13120	LOC145248359
g13121	LOC145248359
g13122	LOC145248357
g13123	LOC145248357
g13124	LOC145248357
g13127	LOC145247857
g13128	LOC145248356
g13129	LOC145248356
g1313	LOC145287959
g13130	LOC145248356
g13131	LOC145248355
g13132	LOC145248938
g1314	LOC145287959
g13143	LOC145248942
g13144	LOC145248945
g13145	LOC145248723
g13146	LOC145248947
g13147	LOC145248945
g13148	LOC145248945
g13150	LOC145248948
g13151	LOC145248950
g13152	LOC145248949
g13153	LOC145248628
g13156	LOC145248789
g1318	LOC145287963
g13187	LOC145248649
g132	LOC145241418
g1322	LOC145287965
g1323	LOC145288245
g13235	LOC145248787
g13237	LOC145248787
g13238	LOC145248787
g1324	LOC145287966
g13240	LOC145248787
g13241	LOC145248787
g13242	LOC145248787
g13247	LOC145248972
g13248	LOC145248972
g13249	LOC145248973
g1325	LOC145287966
g13250	LOC145248733
g13251	LOC145248732
g13254	LOC145248970
g13255	LOC145248968
g1326	LOC145287966
g13260	LOC145248967
g13261	LOC145248965
g13263	LOC145248962
g13264	LOC145248959
g13265	LOC145248960
g13266	LOC145248958
g13267	LOC145248727
g13269	LOC145248955
g1327	LOC145287966
g13270	LOC145248954
g13271	LOC145248724
g13272	LOC145248953
g13273	LOC145248952
g13274	LOC145248952
g13275	LOC145248628
g13276	LOC145249020
g13277	LOC145249021
g13278	LOC145249023
g13279	LOC145249024
g1328	LOC145287967
g13280	LOC145248981
g13281	LOC145248983
g13282	LOC145248985
g13283	LOC145248985
g13285	LOC145248991
g13286	LOC145248994
g13287	LOC145248993
g13288	LOC145248995
g13289	LOC145248995
g13291	LOC145248998
g13292	LOC145248999
g13293	LOC145249001
g13294	LOC145248999
g13295	LOC145249002
g13296	LOC145249003
g13297	LOC145249004
g13298	LOC145248665
g13299	LOC145248665
g133	LOC145241418
g13300	LOC145249006
g13301	LOC145249007
g13302	LOC145249007
g13303	LOC145249007
g13304	LOC145249007
g13305	LOC145249008
g13306	LOC145249011
g13307	LOC145249010
g13309	LOC145249014
g13310	LOC145249013
g13311	LOC145249017
g13312	LOC145249015
g13313	LOC145249015
g13314	LOC145249015
g13318	LOC145249018
g13319	LOC145248833
g13320	LOC145248831
g13324	LOC145248826
g13325	LOC145248830
g13326	LOC145248825
g13327	LOC145248829
g13328	LOC145248827
g13329	LOC145248822
g13330	LOC145248821
g13331	LOC145248821
g13333	LOC145248820
g13334	LOC145248812
g13335	LOC145248812
g13336	LOC145248818
g13337	LOC145248810
g13338	LOC145248811
g13339	LOC145248810
g13342	LOC145248808
g13344	LOC145248807
g1335	LOC145287968
g13353	LOC145248801
g13361	LOC145248688
g1337	LOC145287971
g13370	LOC145248803
g13371	LOC145248803
g13374	LOC145248803
g13376	LOC145248803
g13378	LOC145248803
g13379	LOC145248803
g1338	LOC145287971
g13380	LOC145248803
g13381	LOC145248803
g13382	LOC145248803
g13383	LOC145248804
g13385	LOC145248805
g13386	LOC145248806
g13389	LOC145248852
g1339	LOC145287971
g13391	LOC145248854
g13392	LOC145248856
g13393	LOC145248857
g13395	LOC145248858
g1340	LOC145287972
g13409	LOC145248656
g1341	LOC145287972
g1342	LOC145287973
g13422	LOC145248863
g13423	LOC145248863
g13424	LOC145248863
g13426	LOC145248867
g13427	LOC145248862
g1343	LOC145287974
g13430	LOC145248869
g13431	LOC145248867
g13432	LOC145248868
g13433	LOC145248868
g13434	LOC145248871
g13435	LOC145248871
g13436	LOC145248873
g13437	LOC145248876
g13442	LOC145248893
g13444	LOC145248894
g13445	LOC145248894
g13446	LOC145248895
g13447	LOC145248896
g13448	LOC145248900
g13449	LOC145248900
g1345	LOC145287977
g13450	LOC145248900
g13451	LOC145248899
g13452	LOC145248902
g13453	LOC145248877
g13454	LOC145248879
g13455	LOC145248658
g13457	LOC145248880
g13458	LOC145248880
g13459	LOC145248880
g1346	LOC145287976
g13460	LOC145248881
g13464	LOC145248660
g13465	LOC145248661
g13466	LOC145248885
g13467	LOC145248882
g13468	LOC145248886
g1347	LOC145287976
g13470	LOC145248888
g13472	LOC145248889
g13474	LOC145248890
g13475	LOC145248892
g13484	LOC145248700
g13485	LOC145248700
g13486	LOC145248835
g13487	LOC145248835
g13488	LOC145248835
g13489	LOC145248835
g13490	LOC145248835
g13495	LOC145248838
g13496	LOC145248838
g13497	LOC145248840
g135	LOC145241307
g13501	LOC145248703
g13502	LOC145248841
g13505	LOC145248844
g13506	LOC145248844
g1351	LOC145260397
g13513	LOC145248846
g13515	LOC145248847
g13516	LOC145248848
g13517	LOC145248848
g1352	LOC145260217
g13520	LOC145248850
g13521	LOC145248850
g13523	LOC145248851
g13524	LOC145248852
g1353	LOC145260395
g13531	LOC145248751
g13532	LOC145248750
g13537	LOC145248910
g13538	LOC145248663
g13539	LOC145248912
g1354	LOC145260395
g13540	LOC145248913
g13541	LOC145248913
g13542	LOC145248914
g13543	LOC145248914
g13544	LOC145248914
g13546	LOC145248915
g13547	LOC145248915
g1355	LOC145260206
g13552	LOC145248917
g13553	LOC145248918
g13554	LOC145248920
g13555	LOC145248920
g13559	LOC145248923
g1356	LOC145260396
g13562	LOC145248926
g13563	LOC145248929
g13564	LOC145248930
g13565	LOC145248931
g13566	LOC145248932
g13569	LOC145248934
g13570	LOC145248937
g13571	LOC145248924
g13572	LOC145249446
g13573	LOC145249446
g13574	LOC145249444
g13575	LOC145249443
g13577	LOC145249442
g13578	LOC145249442
g13579	LOC145249442
g13581	LOC145249442
g13585	LOC145249439
g13586	LOC145249437
g13587	LOC145249436
g13589	LOC145249435
g1359	LOC145287978
g13592	LOC145249434
g13593	LOC145249431
g13594	LOC145249431
g13595	LOC145249431
g13596	LOC145249431
g13597	LOC145249431
g13598	LOC145249431
g136	LOC145240709
g1360	LOC145287978
g13600	LOC145249342
g13602	LOC145249342
g13604	LOC145249433
g13605	LOC145249433
g13606	LOC145249431
g13607	LOC145249426
g13608	LOC145249428
g13609	LOC145249427
g1361	LOC145287978
g13610	LOC145249430
g13611	LOC145249430
g13614	LOC145249341
g13616	LOC145249425
g13618	LOC145249424
g13619	LOC145249422
g13622	LOC145249344
g13623	LOC145249447
g13624	LOC145249455
g13625	LOC145249455
g13626	LOC145249455
g13628	LOC145249449
g13629	LOC145249450
g13631	LOC145249452
g13632	LOC145249453
g13633	LOC145249456
g13634	LOC145249457
g13635	LOC145249457
g13636	LOC145249458
g13637	LOC145249459
g13638	LOC145249463
g13639	LOC145249462
g13640	LOC145249465
g13641	LOC145249466
g13642	LOC145249467
g13643	LOC145249581
g13644	LOC145249578
g13645	LOC145249578
g13646	LOC145249579
g13647	LOC145249577
g13648	LOC145249576
g13649	LOC145249575
g13651	LOC145249572
g13652	LOC145249568
g13653	LOC145249568
g13654	LOC145249566
g13657	LOC145249565
g13663	LOC145249564
g13664	LOC145249563
g13666	LOC145249562
g13667	LOC145249560
g13668	LOC145249560
g13669	LOC145249559
g13670	LOC145249559
g13671	LOC145249558
g13672	LOC145249558
g13673	LOC145249556
g13677	LOC145249553
g13678	LOC145249553
g13681	LOC145249553
g13682	LOC145249553
g13683	LOC145249555
g13684	LOC145249553
g13685	LOC145249555
g13690	LOC145249546
g13691	LOC145249540
g13692	LOC145249540
g13693	LOC145249540
g13694	LOC145249536
g13695	LOC145249537
g13696	LOC145249534
g13697	LOC145249531
g13698	LOC145249532
g13699	LOC145249530
g137	LOC145241230
g1370	LOC145288188
g13700	LOC145249529
g13701	LOC145249519
g13702	LOC145249518
g13705	LOC145249516
g13706	LOC145249510
g13709	LOC145249468
g1371	LOC145287981
g13710	LOC145249470
g13711	LOC145249471
g13712	LOC145249472
g13715	LOC145249474
g13716	LOC145249474
g13717	LOC145249475
g13718	LOC145249478
g13719	LOC145249478
g1372	LOC145287981
g13720	LOC145249480
g13722	LOC145249481
g13724	LOC145249482
g13725	LOC145249487
g13727	LOC145249487
g13728	LOC145249484
g13729	LOC145249491
g1373	LOC145287983
g13730	LOC145249489
g13732	LOC145249492
g13735	LOC145249495
g13736	LOC145249495
g13738	LOC145249495
g13739	LOC145249495
g1374	LOC145287983
g13746	LOC145249496
g13747	LOC145249496
g13748	LOC145249496
g1375	LOC145287984
g13752	LOC145249497
g13753	LOC145249497
g1376	LOC145287988
g13760	LOC145249507
g13761	LOC145249506
g13764	LOC145249505
g13765	LOC145249502
g13766	LOC145249503
g13767	LOC145249500
g13768	LOC145249500
g13769	LOC145249497
g1377	LOC145287988
g13771	LOC145249497
g13772	LOC145249363
g13774	LOC145249373
g1378	LOC145287986
g13787	LOC145249582
g13788	LOC145249582
g1379	LOC145287989
g13790	LOC145249584
g13791	LOC145249583
g13793	LOC145249587
g13794	LOC145249588
g13795	LOC145249589
g13796	LOC145249593
g13797	LOC145249591
g13798	LOC145249592
g138	LOC145240709
g1380	LOC145287990
g13800	LOC145249594
g13801	LOC145249596
g13802	LOC145249597
g13803	LOC145249374
g13808	LOC145249599
g13809	LOC145249599
g1381	LOC145287991
g13810	LOC145249599
g13811	LOC145249599
g13812	LOC145249600
g13813	LOC145249601
g13814	LOC145249603
g13815	LOC145249604
g13816	LOC145249605
g13817	LOC145249605
g13818	LOC145249606
g13819	LOC145249608
g1382	LOC145287997
g13820	LOC145249609
g13823	LOC145249613
g13824	LOC145249611
g13825	LOC145249611
g13826	LOC145249614
g13827	LOC145249615
g1383	LOC145287992
g13833	LOC145249619
g13835	LOC145249620
g13837	LOC145249623
g13838	LOC145249622
g1384	LOC145287996
g13840	LOC145249623
g13841	LOC145249624
g13843	LOC145249628
g13844	LOC145249619
g13845	LOC145249628
g13846	LOC145249627
g13847	LOC145249629
g13848	LOC145249629
g1385	LOC145287994
g13851	LOC145249631
g13852	LOC145249633
g13853	LOC145249632
g13855	LOC145249633
g1386	LOC145287995
g13861	LOC145249633
g13862	LOC145249635
g13863	LOC145249636
g13864	LOC145249636
g13865	LOC145249637
g13866	LOC145249639
g13867	LOC145249641
g13868	LOC145249642
g1387	LOC145287995
g13872	LOC145249643
g13873	LOC145249643
g13874	LOC145249644
g13875	LOC145249644
g13879	LOC145249645
g13880	LOC145249647
g13881	LOC145249649
g13882	LOC145249648
g13883	LOC145249653
g13884	LOC145249653
g13885	LOC145249655
g13886	LOC145249660
g13887	LOC145249658
g13889	LOC145249656
g1389	LOC145288007
g13892	LOC145249663
g13894	LOC145249667
g13895	LOC145249667
g13896	LOC145249395
g13897	LOC145249395
g139	LOC145240445
g1390	LOC145287999
g13902	LOC145249675
g13906	LOC145249674
g13908	LOC145249678
g13909	LOC145249678
g13913	LOC145249678
g13915	LOC145249678
g13916	LOC145249678
g1392	LOC145288001
g13920	LOC145249679
g13921	LOC145249680
g13922	LOC145249682
g13923	LOC145249682
g1393	LOC145288000
g13931	LOC145249686
g13933	LOC145249410
g13934	LOC145249687
g13935	LOC145249697
g13936	LOC145249704
g13937	LOC145249698
g13938	LOC145249698
g13939	LOC145249698
g1394	LOC145288003
g13940	LOC145249417
g13942	LOC145249706
g13948	LOC145249710
g1395	LOC145288001
g13956	LOC145249713
g13958	LOC145249715
g13959	LOC145249716
g1396	LOC145288002
g13960	LOC145249717
g13964	LOC145249721
g13965	LOC145249721
g13966	LOC145249721
g13967	LOC145249724
g13968	LOC145249720
g13969	LOC145249718
g1397	LOC145288005
g13970	LOC145249727
g13972	LOC145249728
g13973	LOC145249729
g13974	LOC145249730
g13975	LOC145249731
g13976	LOC145249732
g13977	LOC145249734
g13978	LOC145249735
g13979	LOC145249736
g1398	LOC145288006
g13983	LOC145249737
g13984	LOC145249737
g13986	LOC145249737
g13988	LOC145249741
g13989	LOC145249741
g1399	LOC145288006
g13990	LOC145249741
g13991	LOC145249741
g13992	LOC145249742
g13993	LOC145249742
g13996	LOC145249743
g13997	LOC145249743
g13998	LOC145249743
g140	LOC145240349
g1400	LOC145288002
g14001	LOC145249747
g14002	LOC145249747
g14003	LOC145249747
g14004	LOC145249747
g14005	LOC145249748
g14006	LOC145249744
g14007	LOC145249749
g14008	LOC145249751
g14009	LOC145249752
g1401	LOC145288011
g14010	LOC145249754
g14011	LOC145249756
g14012	LOC145249756
g1402	LOC145288009
g14021	LOC145249758
g14022	LOC145249758
g14023	LOC145249759
g14024	LOC145249759
g14025	LOC145249759
g14028	LOC145249759
g1403	LOC145288012
g14030	LOC145249761
g14033	LOC145249762
g14034	LOC145249382
g14035	LOC145249763
g14036	LOC145249763
g1404	LOC145288015
g14042	LOC145249764
g14043	LOC145249764
g14047	LOC145249765
g14048	LOC145249765
g14049	LOC145249767
g14050	LOC145249768
g14051	LOC145249770
g14052	LOC145249770
g14053	LOC145249769
g14054	LOC145249769
g14055	LOC145249772
g14056	LOC145249421
g14057	LOC145249773
g14058	LOC145249687
g1406	LOC145288008
g14061	LOC145249688
g14064	LOC145249689
g14065	LOC145249689
g14067	LOC145249412
g1407	LOC145288017
g14070	LOC145249691
g14072	LOC145249691
g14073	LOC145249691
g14074	LOC145249691
g14075	LOC145249693
g14076	LOC145249692
g14077	LOC145249692
g14078	LOC145249693
g14079	LOC145249693
g1408	LOC145288013
g1409	LOC145288018
g141	LOC145240052
g1410	LOC145288019
g14106	LOC145252506
g14108	LOC145252505
g14109	LOC145252504
g1411	LOC145288020
g14110	LOC145252502
g14111	LOC145252503
g14112	LOC145252500
g14113	LOC145252501
g14114	LOC145252501
g14115	LOC145252501
g14116	LOC145252497
g14117	LOC145252497
g14118	LOC145252497
g14119	LOC145252497
g1412	LOC145288022
g14120	LOC145252499
g14121	LOC145252496
g14125	LOC145252490
g14126	LOC145252491
g14127	LOC145252489
g14128	LOC145252493
g14129	LOC145252488
g1413	LOC145288024
g14130	LOC145252487
g14131	LOC145252486
g14132	LOC145252484
g14133	LOC145252484
g14134	LOC145252483
g14135	LOC145252482
g14136	LOC145252482
g14137	LOC145252481
g14138	LOC145252481
g14139	LOC145252480
g1414	LOC145288023
g14141	LOC145252853
g14148	LOC145252478
g1415	LOC145288025
g14150	LOC145252478
g14151	LOC145252478
g14152	LOC145252477
g14153	LOC145252476
g14158	LOC145252474
g14161	LOC145252473
g14162	LOC145252472
g14163	LOC145252470
g14164	LOC145252469
g14165	LOC145252466
g14166	LOC145252466
g14167	LOC145252468
g14168	LOC145252466
g14169	LOC145252464
g14170	LOC145252463
g14171	LOC145252463
g14172	LOC145252463
g14173	LOC145252461
g14174	LOC145252459
g14176	LOC145252455
g14177	LOC145252455
g14178	LOC145252452
g14179	LOC145252454
g1418	LOC145288246
g14180	LOC145252453
g14182	LOC145252451
g14183	LOC145252451
g14184	LOC145252448
g14185	LOC145252447
g14186	LOC145252445
g14188	LOC145252444
g14189	LOC145252442
g1419	LOC145288026
g14190	LOC145252441
g14192	LOC145252439
g14193	LOC145246785
g14194	LOC145252435
g14196	LOC145252435
g14197	LOC145252433
g14198	LOC145252436
g14199	LOC145252432
g142	LOC145239868
g1420	LOC145288026
g14200	LOC145252430
g14201	LOC145252429
g14202	LOC145252427
g14203	LOC145252426
g14204	LOC145252425
g14206	LOC145252425
g14208	LOC145252422
g14210	LOC145252420
g14211	LOC145252420
g14212	LOC145252418
g14213	LOC145252420
g14214	LOC145260479
g14215	LOC145260478
g14217	LOC145252541
g14219	LOC145252390
g14220	LOC145252542
g14221	LOC145252543
g14223	LOC145252543
g14224	LOC145252544
g14225	LOC145252547
g14226	LOC145252544
g14227	LOC145252545
g14228	LOC145252545
g14229	LOC145252548
g14230	LOC145252549
g14232	LOC145252867
g14233	LOC145252550
g14238	LOC145252552
g14239	LOC145252552
g1424	LOC145288028
g14240	LOC145252553
g14241	LOC145252556
g14242	LOC145252556
g14244	LOC145252555
g14245	LOC145252555
g14247	LOC145252559
g14248	LOC145252560
g14249	LOC145252871
g1425	LOC145288028
g14250	LOC145252565
g14251	LOC145252565
g14252	LOC145252561
g14253	LOC145252562
g14254	LOC145252563
g14255	LOC145252565
g14256	LOC145252565
g14258	LOC145252569
g14259	LOC145252569
g1426	LOC145288028
g14260	LOC145252558
g14261	LOC145252569
g14262	LOC145252570
g14263	LOC145252570
g14264	LOC145252571
g14265	LOC145252572
g14266	LOC145252572
g1427	LOC145288028
g14270	LOC145252576
g14272	LOC145252576
g14273	LOC145252578
g14274	LOC145252582
